date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:09	2264/2264	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Jun%202024%2016:22:14%20GMT	https://cdn.shopify.com/s/files/1/0699/2153/8295/files/rust.png?v=1719745325	C:/Users/Crcker2.0/Downloads/weew/cdn.shopify.com/s/files/1/0699/2153/8295/files/rust2d26.png	(from https://store.vantacheats.to/pages/status)
09:57:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:08%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/footer.css?v=36923194359842579201718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/footerf95a.css	(from https://store.vantacheats.to/pages/status)
09:57:11	3602/3602	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2018:09:21%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/footer.css?v=36923194359842579201718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/footerf95a.css	(from https://store.vantacheats.to/pages/status)
09:57:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:10%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/scroll-to-top-button.js?v=22932576784810242701718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/scroll-to-top-buttonbeec.js	(from https://store.vantacheats.to/pages/status)
09:57:11	591/591	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:20%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/scroll-to-top-button.js?v=22932576784810242701718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/scroll-to-top-buttonbeec.js	(from https://store.vantacheats.to/pages/status)
09:57:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:10%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/toast-notification.css?v=58570705468199793591718817535	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/toast-notification9492.css	(from https://store.vantacheats.to/pages/status)
09:57:11	2833/2833	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2018:09:21%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/toast-notification.css?v=58570705468199793591718817535	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/toast-notification9492.css	(from https://store.vantacheats.to/pages/status)
09:57:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:10%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/toast-notification.js?v=179802583820712451171718817535	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/toast-notificationc133.js	(from https://store.vantacheats.to/pages/status)
09:57:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:11%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/cart-provider.js?v=51729011619080374291718817531	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/cart-provider39f1.js	(from https://store.vantacheats.to/pages/status)
09:57:12	1196/1196	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/toast-notification.js?v=179802583820712451171718817535	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/toast-notificationc133.js	(from https://store.vantacheats.to/pages/status)
09:57:12	2747/2747	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2027%20Jun%202024%2017:19:04%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/cart-provider.js?v=51729011619080374291718817531	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/cart-provider39f1.js	(from https://store.vantacheats.to/pages/status)
09:57:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:11%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/product-to-cart.js?v=6095891989671331211718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/product-to-cartc04c.js	(from https://store.vantacheats.to/pages/status)
09:57:12	1059/1059	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/product-to-cart.js?v=6095891989671331211718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/product-to-cartc04c.js	(from https://store.vantacheats.to/pages/status)
09:57:13	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:12%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/drop-down.js?v=134248009384311772371718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/drop-downcfda.js	(from https://store.vantacheats.to/pages/status)
09:57:13	1209/1209	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/drop-down.js?v=134248009384311772371718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/drop-downcfda.js	(from https://store.vantacheats.to/pages/status)
09:57:13	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:12%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/product-quick-view.js?v=13881295849157211311718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/product-quick-viewf060.js	(from https://store.vantacheats.to/pages/status)
09:57:13	772/772	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/product-quick-view.js?v=13881295849157211311718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/product-quick-viewf060.js	(from https://store.vantacheats.to/pages/status)
09:57:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:13%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/product-variant-listener.js?v=54062733227880228181718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/product-variant-listenerb2eb.js	(from https://store.vantacheats.to/pages/status)
09:57:14	980/980	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/product-variant-listener.js?v=54062733227880228181718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/product-variant-listenerb2eb.js	(from https://store.vantacheats.to/pages/status)
09:57:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:13%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/product-variant-provider.js?v=111721661119923433281718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/product-variant-providerf264.js	(from https://store.vantacheats.to/pages/status)
09:57:14	3098/3098	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/product-variant-provider.js?v=111721661119923433281718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/product-variant-providerf264.js	(from https://store.vantacheats.to/pages/status)
09:57:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:13%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/product-form.js?v=145131894212053286261718817533	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/product-formdc3f.js	(from https://store.vantacheats.to/pages/status)
09:57:15	1462/1462	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/product-form.js?v=145131894212053286261718817533	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/product-formdc3f.js	(from https://store.vantacheats.to/pages/status)
09:57:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:14%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/slideshow-blaze.js?v=113211149322647725231718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/slideshow-blaze1472.js	(from https://store.vantacheats.to/pages/status)
09:57:15	1672/1672	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/slideshow-blaze.js?v=113211149322647725231718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/slideshow-blaze1472.js	(from https://store.vantacheats.to/pages/status)
09:57:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:14%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/video-player.js?v=16097144113722785691718817535	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/video-player825d.js	(from https://store.vantacheats.to/pages/status)
09:57:15	519/519	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:20%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/video-player.js?v=16097144113722785691718817535	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/video-player825d.js	(from https://store.vantacheats.to/pages/status)
